term,pos,comment,ach,comment_ach,af,comment_af,am,comment_am,ar,comment_ar,az,comment_az,be,comment_be,bg,comment_bg,bn,comment_bn,bs,comment_bs,ca,comment_ca,cmn,comment_cmn,cs,comment_cs,cy,comment_cy,da,comment_da,de,comment_de,el,comment_el,en_GB,comment_en_GB,eo,comment_eo,es,comment_es,es_CL,comment_es_CL,es_CO,comment_es_CO,es_DO,comment_es_DO,es_MX,comment_es_MX,es_VE,comment_es_VE,et,comment_et,eu,comment_eu,fa,comment_fa,fi,comment_fi,fil,comment_fil,fr,comment_fr,he,comment_he,hi,comment_hi,hr,comment_hr,hu,comment_hu,hy,comment_hy,id,comment_id,is,comment_is,it,comment_it,ja,comment_ja,ka,comment_ka,kk,comment_kk,km,comment_km,ko,comment_ko,ku_IQ,comment_ku_IQ,ky,comment_ky,la,comment_la,lt,comment_lt,lv,comment_lv,mk,comment_mk,ml,comment_ml,mn,comment_mn,mr_IN,comment_mr_IN,ms,comment_ms,my,comment_my,nb,comment_nb,ne,comment_ne,nl,comment_nl,pam,comment_pam,pl,comment_pl,pt,comment_pt,pt_BR,comment_pt_BR,ro,comment_ro,ru,comment_ru,sah,comment_sah,si,comment_si,sk,comment_sk,sl,comment_sl,sn,comment_sn,sq,comment_sq,sr,comment_sr,sr@latin,comment_sr@latin,sv,comment_sv,szl,comment_szl,ta,comment_ta,te,comment_te,th,comment_th,tr,comment_tr,tt,comment_tt,uk,comment_uk,ur,comment_ur,uz@Cyrl,comment_uz@Cyrl,uz@Latn,comment_uz@Latn,vi,comment_vi,yo,comment_yo,zh,comment_zh,zh-Hans,comment_zh-Hans,zh_CN,comment_zh_CN,zh_HK,comment_zh_HK,zh_TW,comment_zh_TW,zu,comment_zu
amount,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,belopp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
any,Pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
argument,Noun,,,,argument,,,,دليل,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,argumento,,,,argumento,,,,,,,,,,,,,,argumentti,,,,,,,,,,,,,,,,argumen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,argument,,,,,,,,,,,,,,,,,,,,,,,,,,argument,,,,,,వాదన,,,,,,,,,,,,,,,,,,,,,,,,选项,,,,,,,
associate,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
auth,Noun,,,,auth,,,,,,,,,,,,,,,,,,,,,,,,,,Authentifikation,,,,,,,,auth,,,,,,,,,,,,,,,,,,todennus,,,,authentification,,,,,,,,,,,,auth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,аутентификация,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
authenticate,Verb,,,,,,,,توثيق,,,,,,,,,,,,,,,,ověřit,,,,,,authentifizieren,,,,,,,,autenticar,,,,autenticar,,,,,,autenticar,,,,,,تصدیق,,,,,,authentifier,,אימות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,authenticeer,,,,uwierzytelniać,,,,,,,,аутентифицироваться,,,,,,,,,,,,,,,,,,autentisera,,,,,,ప్రమాణీకరణ,,,,,,,,,,,,,,,,,,,,,,,,授权,,,,身份驗證,,,
backup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
backup,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,پشتیبانی,,,,,,,,גיבוי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,резервная копия,,,,,,,,,,,,,,,,,,säkerhetskopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
backup,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,پشتیبانی گرفتن,,,,,,,,לגבות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,säkerhetskopiera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
backups,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,גיבויים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balance,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,saldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ban,Verb,,,,,,,,,,,,,,,,,,,,bandejar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bannlysa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bind,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bitcoin,Noun,,,,,,,,بتكوين,,,,,,,,,,,,bitcoin,,,,,,,,,,,,,,,,,,,,,,bitcoin,,,,,,,,,,,,,,,,,,,,ביטקוין,,,,,,,,,,bitcoin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,биткойн,,,,,,,,,,,,,,,,,,bitcoin,,,,பிட்காயின்,,బిటికాయిన్,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block,Noun,,,,blok,,,,كتلة,,,,,,блок,,,,,,,,,,blok,,,,blok,,Block,,,,,,bloko,,bloque,,,,bloque,,,,,,bloque,,,,,,مسدود کردن,,lohko,,,,bloc,,בלוק,,,,blok,,,,,,,,,,blocco,,ブロック,,ბლოკი,,,,,,,,,,,,frustum,,,,,,,,,,,,,,,,,,,,,,blok,"I don't favor translating blocks, block chain or blockchain. In media and in conversation we don't translate these like the French, but we incorporate them in our language. Like we use smart phone for smart phone. Only when trying to explain blockchain to 'ordinary' people we start talking about 'blokken' forming a 'keten'.",,,blok,,,,,,,,блок,,,,,,blok,,,,,,,,,,,,block,,,,பிளாக்,,బ్లాక్,,,,blok,,,,блок,,,,,,,,khối,,,,,,,,区块,,,,區塊,,,
block chain,Noun,,,,,,,,سلسلة الكتلة,,,,,,,,,,,,,,,,,,,,blokkæde,,Blockchain,"Wenn sogar Angela ""Neuland"" Merkel das Wort ""Blockchain"" benutzt, kann man es als hinlänglich gebräuchlich betrachten.",,,,,blokĉeno,,cadena de bloques,,,,,,,,,,bloque de cadena,,,,,,,,lohkoketju,,,,chaîne de blocs,,בלוקצ'יין,,,,niz blokova,,,,,,blockchain ,,,,catena di blocchi,,ブロック チェーン,,ბლოკების ჯაჭვი,,,,,,,,,,,,catena frustorum,,,,,,,,,,,,,,,,,,,,,,blokketen,Of 'blokkenketen'?,,,łańcuch bloków,,,,,,,,цепь блоков,,,,,,blockchain,,,,,,,,,,,,blockkedja,,,,பிளாக் செயின்,,,,,,blok zinciri,,,,ланцюжок блоків,,,,,,,,,,,,,,,,区块链,,,,區塊鏈,,,
block chain storage,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blockchain-Speicher,,,,,,,,,,,,,,,,,,almacenamiento de bloque en cadena,,,,,,,,,,,,,,אחסון הבלוקצ'יין,,,,,,,,,,,,,,,,ブロック チェーン ストレージ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,block chain opslag,Of (geheugen)opslag,,,magazyn łańcucha bloków,,,,,,,,хранение цепи блоков,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block database,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,blokdatabase,,Blockdatenbank,,,,,,,,base de datos de bloques,,,,,,,,,,base de datos de bloque,,,,,,,,lohkotietokanta,,,,base de données des blocs,,מאגר נתוני הבלוקים,,,,,,,,,,,,,,,,ブロック データベース,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,block database,,,,baza bloków,,,,,,,,,,,,,,,,,,,,,,,,,,blockdatabas,,,,பிளாக் தகவல்தளம்,,,,,,blok veritabanı,,,,,,,,,,,,,,,,,,,,,,,,,,,
block index,Noun,,,,,,,,مؤشر الكتلة,,,,,,блоков индекс,,,,,,,,,,,,,,blokindeks,,Blockindex,,,,,,blokindekso,,índice de bloques,,,,,,,,,,,,,,,,,,lohkoindeksi,,,,index des blocs,,מפתח בלוקים,,,,oznaka bloka,,,,,,,,,,indice del blocco,,ブロック インデックス,,ბლოკის ინდექსი,,,,,,,,,,,,index frustorum,,,,,,,,,,,,,,,,,,,,,,blokindex,,,,indeks bloków,,,,,,,,,,,,,,zoznam blokov,,,,,,,,,,,,blockindex,,,,,,,,,,blok dizini,,,,індекс блоків,,,,,,,,,,,,,,,,区块索引,,,,區塊索引,,,
blockchain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blockchain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,цепочки блоков,,,,,,,,veriga blokov,,,,,,,,,,,,,,பிளாக்செயின்,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blockchain,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blockchain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,цепочка блоков,,,,,,,,veriga blokov,,,,,,,,,,,,,,பிளாக்செயின்,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blocks,Interjection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,בלוקים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blokken,,,,blokuje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,பிளாக்குகள்,,,,,,,,,,блоки,,,,,,,,,,,,,,,,,,,,,,,
blocks,Noun,,,,,,,,كتل,,,,,,,,,,,,blocs,,,,,,,,blokke,,Blöcke,,,,,,,,bloques,,,,bloques,,,,,,,,,,,,,,,,,,blocs,,בלוקים,,,,,,,,,,,,,,,,,,ბლოკები,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blokken,,,,bloki,,,,,,,,,,,,,,,,,,,,,,,,,,block,,,,பிளாக்குகள்,,,,,,bloklar,,,,блоки,,,,,,,,,,,,,,,,,,,,,,,
broadcast,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rundruf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שידור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
broadcast,Verb,,,,uitsaai,,,,يبث,,,,,, разпространявам / разпръсквам,,,,,,,,,,,,,,,,senden,,,,,,elsendi,,difundir,"The verb is ""difundir"". The noun is ""difusión"".",,,,,,,,,,,,,,,,,,,,,diffuser,,שידור,,,,emitiraj,,,,,,,,,,,,ブロードキャスト,,"უწყება, მაუწყებლობა",,,,,,,,,,,,disseminare disseminavisse disseminatum,,,,,,,,,,,,,,,,,,,,,,uitzending,,,,rozgłaszać,,,,,,,,,,,,,,vysielať,,,,,,,,,,,,,,,,,,ప్రసారం చేయు,,,,yayınlamak,,,,,,,,,,,,,,,,,,,,广播,,,,公告,,,
bytes,Noun,,,,grepe,,,,,,,,,,,,,,,,bytes,"millor bytes, octet es considera obsolet",,,,,,,,,Byte,,,,,,,,bytes,,,,bytes,,,,,,,,,,,,,,,,,,,,בתים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,位元組,,,
cancel,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
change,Noun,usually meant in the way what you get back after payment (Amount to refund).,,,kleingeld,wat jy terugkry nadat jy betaal het.,,,صرف,,,,,,смяна,,,,,,,,,,změna; (po) změně,,,,ændring,,Wechselgeld,,,,,,restmono,,cambio,,,,,,,,,,cambio,,,,,,تغییر,,vaihtoraha,,,,monnaie,,עודף,,,,promjena,,,,,,,,,,,,おつり,支払い後に戻される差額。釣り銭。,ხურდა,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wisselgeld,,,,reszta,,,,,,,restituire,сдача,,,,,,zmena,,vračilo,"Lahko tudi ""vračilo drobiža""",,,,,,,,,växel,,,,,,,,,,para üstü,,,,решта,,,,,,,,,,,,,,,,,,,,零錢,,,
change,Verb,usually synonymously meanings: modify; alter,,,verandering,"aanpas, wysig",,,يغير,,,,,,сменям,Според контекста,,,,,canviar,,,,změnit,,,,ændre,,ändern,,,,,,ŝanĝi,,cambiar,,,,,,,,,,,,,,,,تغییر کردن,,,,,,changer,,,,,,promijeniti,,,,,,,,,,,,変更する,,"გაცვლა, დახურდავება",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wijzig,Verbs related to action in the GUI have to be in singular form.,,,zmiana,,,,,,,schimbă,изменять,,,,,,zmeniť,,,,,,,,,,,,ändra,,,,,,మార్చు,,,,değiştirmek,,,,змінити,,,,,,,,,,,,,,,,,,,,更改,,,
change-address,Noun,a type of address in which remaining funds are stored after a transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adresse de monnaie,,,,,,,,,,,,,,,,,,おつりアドレス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naslov za vračilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
click,Adjective,Click as an adjective?? Don't you mean click as a Noun?,,,,,,,نقر,,,,,,,,,,,,,,,,kliknutí,,,,klik,,,,,,,,,,,,,,,,,,,,,,,,,,کلیک,,,,,,clic,,לחיצה,,,,,,,,,,,,,,clic,,クリック,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,klik,,,,klik,,,,,,,click,,,,,,,,,,,,,,,,,,,,,,,,,క్లిక్,,,,tık,,,,,,,,,,,,,,,,,,,,,,,,,,,
click,Verb,,,,klik,,,,أنقر,,,,,,щракване,с мишка,,,,,,,,,kliknout,,,,klik,,klicken,,,,,,klaki,,clic,,,,,,,,,,,,,,,,کلیک کردن,,,,,,cliquer,,,,,,klik,,,,,,,,,,fare clic,,クリック,,"ჩხვლეტა, დაკლიკვა",,,,,,,,,,,,cliccare cliccavisse cliccatum,,,,,,,,,,,,,,,,,,,,,,klik,,,,kliknąć,,,,,,,,,,,,,,,,,,,,,,,,,,klicka,,,,,,వత్తు,,,,tıklamak,,,,,,,,,,,,,,,,,,,,单击,,,,按一下,,,
click-to-pay,Noun,,,,,,,,أنقر للدفع,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cliquer-pour-payer,,,,,,,,,,,,,,,,click-to-pay,,,,დააჭირე გადახდისთვის,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,click pentru a plăti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,satın almak için tıklayın,,,,,,,,,,,,,,,,,,,,一键支付,,,,按就付,bitcoin 付款協議,,
client,Noun,,,,kliënt,,,,,,,,,,клиент,,,,,,client,,,,klient,,,,klient,,,,,,,,kliento,,cliente,,,,,,,,,,,,,,,,,,asiakas,,,,client,,לקוח,,,,klijent,,,,,,,,,,,,クライアント,,კლიენტი,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cliënt,depends on the use,,,klient,,,,,,,,,,,,,,,,,,,,,,,,,,klient,,,,,,ఉపయోక్త,,,,istemci,,,,клієнт,,,,,,,,,,,,,,,,客户端,,,,客戶端軟體 客戶端程式 客戶端,,,
clipboard,Noun,,,,knipbord,,,,,,,,,,,,,,,,,,,,schránka,,,,udklipsholder,,,,,,,,tondejo,,portapapeles,,,,,,,,,,,,,,,,,,leikepöytä,,,,presse-papiers,,לוח גזירים,,,,međuspremnik,,,,,,,,,,,,クリップボード,,კლიპბორდი,,,,,,,,,,,,latibulum (n.),,,,,,,,,,,,,,,,,,,,,,klembord,,,,schowek,,,,,,,,,,,,,,,,,,,,,,,,,,Urklipp,,,,,,క్లిప్బోర్డు,,,,pano,,,,буфер обміну,,,,,,,,,,,,,,,,剪贴板,,,,剪貼簿,,,
coin,Noun,,,,munt,,,,,,,,,,монета,,,,,,,,,,,,,,bitcoin,,,,,,,,monero,,moneda,,,,,,,,,,,,,,,,سکه,,kolikko,,,,pièce,,מטבע,,,,novac,,,,,,,,,,,,コイン,,მონეტა,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coin,,,,moneta,,,,,,,,,,,,,,,,,,,,,,,,,,pengar,,,,,,బిటికాయిన్,,,,para,,,,монета,,,,,,,,,,,,,,,,币,,,,幣,錢幣 錢,,
coins,Noun,,,,munte,,,,,,,,,,монети,,,,,,,,,,,,,,bitcoin,,,,,,,,moneroj,,monedas,,,,,,,,,,,,,,,,,,kolikot,,,,pièces,,מטבעות,,,,novci,,,,,,,,,,,,コイン,,მონეტები,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coins,,,,monety,,,,,,,,,,,,,,,,,,,,,,,,,,pengar,,,,,,,,,,paralar,,,,монети,,,,,,,,,,,,,,,,币,,,,錢,錢幣,,
comma,Noun,,,,komma,,,,,,,,,,,,,,,,,,,,,,,,komma,,,,,,,,,,coma,,,,,,,,,,,,,,,,,,,,,,virgule,,,,,,zarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,komma,,,,przecinek,,,,,,,"virgulă (,)",,,,,,,,,,,,,,,,,,,kommatecken,,,,,,,,,,virgül,,,,кома,,,,,,,,,,,,,,,,小数点,,,,逗點,,,
command,Noun,,,,,,,,,,,,,,,,,,,,ordre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
command-line,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kommandorad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
configuration,Noun,,,,konfigurasie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,configuración,,,,,,,,,,,,,,,,,,,,,,,,קונפיגורציה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,configuratie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,konfiguration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confirm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confirm,Verb,,,,bevestig,,,,,,,,,,потвърди,,,,,,,,,,,,,,bekræfte,,bestätigen,,,,,,konfirmi,, confirmar,,,,,,,,,,,,,,,,تایید,,,,,,confirmer,,אשרו,,,,potvrdi,,,,,,,,,,,,,,"დადასტურება, დასტური",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bevestigen,,,,potwierdź,,,,,,,,,,,,,,potvrdiť,,,,,,,,,,,,bekräfta,,,,,,నిర్థారించు,,,,onaylamak,,,,,,,,,,,,,,,,,,,,确认,,,,確認,,,
confirmation,Noun,,,,,,,,تأكيد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אישור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bekräftelse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confirmations,Noun,,,,,,,,تأكيدات,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bevestigingen,,,,potwierdzeń,,,,,,,,,,,,,,,,,,,,,,,,,,bekräftelser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confirmed,Adjective,,,,bevestig,,,,,,,,,,потвърден,,,,,,,,,,,,,,bekræftet,,bestätigt,,,,,,konfirmita,,confirmado,,,,,,,,,,,,,,,,,,varmistettu,,,,confirmé,,אושר,,,,potvrđen,,,,,,,,,,,,,,დადასტურებულია,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bevestigd,,,,potwierdzone,,,,,,,confirmat,,,,,,,,,,,,,,,,,,,bekräftad,,,,,,నిర్ధారించబడినది,,,,doğrulandı,,,,,,,,,,,,,,,,,,,,已确认,,,,已確認,,,
connect,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,forbinde,,Verbindung herstellen,,,,,,,,conectar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,verbind,,,,połączyć,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
connecting,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
connection,Noun,,,,,,,,,,,,,,свързване,,,,,,,,,,,,,,forbindelse,,Verbindung,,,,,,konekto,,conexión,,,,,,,,,,,,,,,,اتصال,,yhteys,,,,connexion,,חיבור,,,,veza,,,,,,,,,,connessione,,接続,,შეერთება,,,,,,,,,,,,conexio conexionis (f.),,,,,,,,,,,,,,,,,,,,,,verbinding,,,,połączenie,,,,,,,conexiune,,,,,,,,,,,,,,,,,,,,,,,,,అనుసంధానం,,,,bağlantı,,,,з'єднання,,,,,,,,,,,,,,,,连接,,,,連線,,,
connections,Noun,,,,,,,,,,,,,,,,,,,,connexions,,,,,,,,forbindelser,,Verbindungen,,,,,,,,conexiones,,,,,,,,,,,,,,,,,,,,,,connexions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,verbindingen,,,,połączenia,,,,,,,conexiuni,,,,,,,,,,,,,,,,,,,,,,,,,అనుసంధానాలు,,,,bağlantılar,,,,,,,,,,,,,,,,,,,,,,,,,,,
console,Noun,,,,,,,,وحدة التحكم,,,,,,конзола,,,,,,,,,,,,,,konsol,,Konsole,,,,,,,,consola,,,,,,,,,,,,,,,,,,,,,,console,,מסוף בקרה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,konsola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,కన్సోల్,,,,konsol,,,,,,,,,,,,,,,,,,,,,,,,控制台,,,
continue,Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cookie,Noun,,,,,,,,,,,,,,,,,,,,galeta,,,,,,,,cookie,,,,,,,,,,cookie,,,,,,,,,,,,,,,,,,eväste,,,,témoin,fichier témoin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cookie,,,,ciastko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,కుకీ,,,,çerez,,,,,,,,,,,,,,,,,,,,,,,,,,,
